event_id,road_id,city,event_type,speed_kmh,vehicle_count,severity,event_time
1,R101,Riyadh,ACCIDENT,15,120,5,2026-08-24 07:00:00
2,R102,Riyadh,ACCIDENT,20,95,4,2026-08-24 07:10:00
3,R103,Riyadh,CONGESTION,25,180,3,2026-08-24 07:20:00
4,R201,Medina,NORMAL,70,60,1,2026-08-24 07:30:00
5,R202,Medina,CONGESTION,35,110,2,2026-08-24 07:40:00
6,R301,Jeddah,ACCIDENT,10,140,5,2026-08-24 07:50:00
7,R302,Jeddah,NORMAL,80,75,1,2026-08-24 08:00:00
8,R401,Khobar,ROAD_CLOSED,0,20,4,2026-08-24 08:10:00
9,R402,Khobar,NORMAL,75,55,1,2026-08-24 08:20:00
10,R501,Mecca,CONGESTION,30,200,3,2026-08-24 08:30:00
